name;pin;x;y;orientation;unit;type;ce;visibility;mode;width
~CE0;9;-900;-200;R;1;I;1;;;
~CE1;10;-900;-300;R;1;I;2;;;
~CE2;14;-900;-400;R;1;I;4;;;
~CE3;15;-900;-500;R;1;I;4;;;
~RE;8;-900;700;R;1;I;1;;SDR;
~WE;18;-900;500;R;1;I;1;;SDR;
~WP;19;-900;400;R;1;I;1;;;
ALE;17;-900;200;R;1;I;1;;;
CLE;16;-900;100;R;1;I;1;;;
CLK;18;-900;500;R;1;I;1;;DDR;
DQS;35;-900;-700;R;1;B;1;;DDR;
IO0;29;900;700;L;1;B;1;;SDR;
IO1;30;900;600;L;1;B;1;;SDR;
IO2;31;900;500;L;1;B;1;;SDR;
IO3;32;900;400;L;1;B;1;;SDR;
IO4;41;900;300;L;1;B;1;;SDR;
IO5;42;900;200;L;1;B;1;;SDR;
IO6;43;900;100;L;1;B;1;;SDR;
IO7;44;900;0;L;1;B;1;;SDR;
R/~B0;7;900;-200;L;1;O;1;;;
R/~B1;6;900;-300;L;1;O;2;;;
R/~B2;5;900;-400;L;1;O;4;;;
R/~B3;4;900;-500;L;1;O;4;;;
VCC;12;200;1200;D;1;W;1;;;
VCC;37;300;1200;D;1;W;1;;;
VCCQ;34;-300;1200;D;1;W;1;;;
VCCQ;39;-200;1200;D;1;W;1;;;
VDDi;3;-100;1000;D;1;N;1;N;;
VPP;2;0;1000;D;1;N;1;N;;
VPP;23;0;1000;D;1;N;1;N;;
VSS;13;200;-1200;U;1;W;1;;;
VSS;36;200;-1200;U;1;P;1;N;;
VSSQ;25;-200;-1200;U;1;W;1;;;
VSSQ;48;-200;-1200;U;1;P;1;N;;
W/~R;8;-900;700;R;1;I;1;;DDR;
DQ0;29;900;700;L;1;B;1;;DDR;
DQ1;30;900;600;L;1;B;1;;DDR;
DQ2;31;900;500;L;1;B;1;;DDR;
DQ3;32;900;400;L;1;B;1;;DDR;
DQ4;41;900;300;L;1;B;1;;DDR;
DQ5;42;900;200;L;1;B;1;;DDR;
DQ6;43;900;100;L;1;B;1;;DDR;
DQ7;44;900;0;L;1;B;1;;DDR;
VSP0;38;100;1000;D;1;N;1;N;;
VSP1;35;100;1000;D;1;N;1;N;SDR;
VSP2;20;100;1000;D;1;N;1;N;;
